Interval	Label	Start	End	Duration	F1	F2	F3	Source_File
8	Segment_4	6.441	6.769	0.328	597.1	1487.8	2593.8	h_d_ScEng_formants
10	Segment_5	7.785	8.049	0.264	359.4	1180.7	2698.6	h_d_ScEng_formants
12	Segment_6	9.073	9.409	0.336	433.1	1365.4	2791.2	h_d_ScEng_formants
14	Segment_7	10.417	10.633	0.216	308.1	1658.4	2569.8	h_d_ScEng_formants
16	Segment_8	11.761	12.049	0.288	363.6	1795.3	2685.8	h_d_ScEng_formants
Interval	Label	Start	End	Duration	F1	F2	F3	Source_File
2	Segment_1	0.32	0.624	0.304	401.5	2559	3458.5	Caro
4	Segment_2	2.08	2.288	0.208	426.5	1988.8	2777.7	Caro
6	Segment_3	4.008	4.216	0.208	451.5	1887.4	2658.1	Caro
8	Segment_4	6.12	6.376	0.256	605.7	1751.6	2636.1	Caro
10	Segment_5	8.304	8.52	0.216	625.6	1237.4	2434.1	Caro
12	Segment_6	10.288	10.608	0.32	587.6	1068.3	2590.9	Caro
14	Segment_7	12.416	12.632	0.216	480.3	1463.1	2693.2	Caro
16	Segment_8	14.424	14.688	0.264	306.8	1249.3	2708.1	Caro
2	Segment_1	0.592	0.848	0.256	310.8	2425.7	3460.7	Em
4	Segment_2	1.432	1.768	0.336	454.5	2258.2	3098.6	Em
6	Segment_3	2.2	2.424	0.224	552.5	2210.3	2966.5	Em
8	Segment_4	3.048	3.288	0.24	779.3	1875.5	2862.2	Em
10	Segment_5	4.072	4.28	0.208	776	1311.3	3051.7	Em
12	Segment_6	4.944	5.208	0.264	380.1	1022.7	3184.4	Em
14	Segment_7	6.08	6.24	0.16	398.5	1749.8	2813	Em
16	Segment_8	6.92	7.16	0.24	311.6	1745.4	2804.2	Em
2	Segment_1	0.139	0.459	0.32	329.7	2483.8	3472.9	Josie
4	Segment_2	0.691	0.915	0.224	402.2	2259.2	3097.3	Josie
6	Segment_3	1.771	1.955	0.184	501	2005.2	3187.3	Josie
8	Segment_4	2.339	2.531	0.192	773.9	1987.9	3093.1	Josie
10	Segment_5	3.307	3.563	0.256	707	1269.9	2848.3	Josie
12	Segment_6	4.251	4.611	0.36	731.5	1330.9	3120	Josie
14	Segment_7	5.267	5.491	0.224	400.9	1412.8	2605.3	Josie
16	Segment_8	6.291	6.555	0.264	371.2	1107.5	2454.7	Josie
2	Segment_1	1.508	1.868	0.36	255.3	2009.9	2907.1	Sofus
4	Segment_2	2.172	2.444	0.272	384.2	1670.8	2532.5	Sofus
6	Segment_3	2.86	3.06	0.2	455.7	1797.9	2589.1	Sofus
8	Segment_4	3.604	3.868	0.264	573.8	1593.5	2568.4	Sofus
10	Segment_5	4.436	4.692	0.256	599.4	1142.1	2749.5	Sofus
12	Segment_6	5.116	5.396	0.28	541.1	1040.2	2887	Sofus
14	Segment_7	5.844	6.004	0.16	371.6	1436.3	2408.5	Sofus
16	Segment_8	6.532	6.74	0.208	332.8	1524	2519.3	Sofus
2	Segment_1	0.864	1.176	0.312	462.9	2659.5	3263.8	Smilla
4	Segment_2	1.544	1.72	0.176	511.5	2221.7	2826.6	Smilla
6	Segment_3	2.184	2.344	0.16	631.4	2158.7	2754.2	Smilla
8	Segment_4	2.848	3.072	0.224	773.6	2154.2	2970.7	Smilla
10	Segment_5	4.008	4.152	0.144	743.3	1385.1	2610.8	Smilla
12	Segment_6	4.856	5.104	0.248	647.3	913	2638.8	Smilla
14	Segment_7	5.584	5.72	0.136	486.5	1452.9	2601.9	Smilla
16	Segment_8	6.4	6.64	0.24	372.5	977.1	2612	Smilla
2	Segment_1	0.298	0.602	0.304	345.5	2371.6	3329.9	el
4	Segment_2	1.018	1.17	0.152	420.4	2049.1	2995.2	el
6	Segment_3	1.69	1.794	0.104	496.4	1976.3	2909.3	el
8	Segment_4	2.522	2.642	0.12	610.8	2037	2907.3	el
10	Segment_5	3.41	3.53	0.12	646.5	1710.3	2552.1	el
12	Segment_6	4.106	4.338	0.232	572.8	870.5	2485.6	el
14	Segment_7	4.914	5.034	0.12	444.8	1468.5	2488.4	el
16	Segment_8	5.674	5.874	0.2	394.7	1272.6	2538.3	el
2	Segment_1	0.441	0.497	0.056	449.7	1504.6	2360.3	MK
4	Segment_2	0.977	1.209	0.232	407.2	2664.5	3554.1	MK
6	Segment_3	2.825	2.969	0.144	467.4	2332.8	3187.7	MK
8	Segment_4	4.593	4.817	0.224	448.4	2383.8	3002.3	MK
10	Segment_5	6.257	6.377	0.12	634.5	2061.7	3045.9	MK
12	Segment_6	7.801	7.961	0.16	664.5	1651.6	2701.5	MK
14	Segment_7	9.425	9.641	0.216	483.9	982.3	2376.1	MK
16	Segment_8	11.017	11.153	0.136	426.6	1543.4	2406.3	MK
18	Segment_9	12.993	13.201	0.208	355.7	1230.4	2568.3	MK
20	Segment_10	14.729	14.785	0.057	529.2	2293.3	3210.4	MK
2	Segment_1	0.809	0.993	0.184	413.9	2346.7	3224.8	Vilde
4	Segment_2	1.481	1.665	0.184	380.2	1776.2	2824.9	Vilde
6	Segment_3	2.241	2.473	0.232	557.9	1744.9	2821.2	Vilde
8	Segment_4	3.089	3.321	0.232	685.2	1555.9	2601.2	Vilde
10	Segment_5	4.361	4.569	0.208	445	1417.2	2713.7	Vilde
12	Segment_6	5.209	5.505	0.296	512.4	1206.3	2792.7	Vilde
14	Segment_7	6.529	6.753	0.224	533.2	1521.6	2560.3	Vilde
16	Segment_8	7.681	7.913	0.232	390.9	1373.5	2246.2	Vilde
2	Segment_1	0.194	0.498	0.304	367.3	2547.4	3249.8	Vilde
4	Segment_2	1.146	1.418	0.272	464.1	2064.1	2942.6	Ida
6	Segment_3	2.09	2.394	0.304	466.5	2017.6	2902.6	Ida
8	Segment_4	3.002	3.322	0.32	641	1883	2801.6	Ida
10	Segment_5	3.89	4.186	0.296	615.7	1317.5	2507.4	Ida
12	Segment_6	4.85	5.138	0.288	645.2	1277.7	2493.4	Ida
14	Segment_7	5.802	6.042	0.24	401.3	1617.8	2624.2	Ida
16	Segment_8	6.658	6.882	0.224	382.2	1558.6	2478.5	Ida
1	Segment_1	0	0.904	0.904	372.5	2399.2	3187.5	Mariya
3	Segment_2	1.192	2.136	0.944	406.6	2300.7	2779	Mariya
5	Segment_3	2.512	3.44	0.928	693.6	1941.5	2768.5	Mariya
7	Segment_4	3.744	4.664	0.92	894	1483.9	2283.5	Mariya
9	Segment_5	5.008	5.936	0.928	716.9	1142.2	3038.3	Mariya
11	Segment_6	6.264	7.168	0.904	548	831.1	2986.5	Mariya
13	Segment_7	7.408	8.328	0.92	372.1	771.4	2888	Mariya
15	Segment_8	8.664	9.777	1.112	380.2	1095.7	2927.1	Mariya
